Bldg. #,Building Name,Room #,Area,Room Use,Organization Name
73,H.J. PATTERSON HALL,103,856.42,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,104,775.5,310D GA TA OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,107,571.01,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,108,634.26,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,0108A,30.81,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,109,737.15,310D GA TA OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,111,180.76,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,112,1015.4,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,113,823.9,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,115,211.15,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,116,205.83,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,0116A,209.66,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,0116B,212.33,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,117,193.8,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,119,18.72,010D HSEKP STG,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,0119A,12.99,010D HSEKP STG,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,122,346.31,050 INACTIVE,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,125,1185.99,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,128,453.65,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,130,22.75,030F TELECOMM RM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,134,637.32,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,193,144.29,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,194,148.58,020E STAIRWAY,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,195,57.53,020B ELEVATOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,197,182.99,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,199,1332.95,020A CORRIDOR,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,201,50.41,040G UNUSBL AREA,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,202,238.47,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,203,104.63,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,204,189.31,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,206,184.41,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,208,174.62,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,210,1346.35,210W CLASS LAB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,214,194.2,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,215,475.44,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,0215A,380.97,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,216,190.94,310A FACULTY OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,217,583.88,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,0217A,244.74,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,0217B,51.33,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,0217C,34.51,255 RESEARCH SV,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,218,145.28,030J WOMEN RSTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,219,196.13,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,220,83.53,030I MENS RESTRM,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,221,634.75,250 RESEARCH LB,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,222,91.67,030C ME ELE EQPT,GENU-STATE APPROPRIATIONS
73,H.J. PATTERSON HALL,223,248.67,310D GA TA OFF,AGNR-ENVIRONMENTAL SCIENCE & T
73,H.J. PATTERSON HALL,225,54.5,315 OFFICE SVC,AGNR-ENVIRONMENTAL SCIENCE & T
