,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2012-00047109,09/01/12,00:32,Centreville Hall at 98 Valley Dr,09/01/12,00:32,Injured/Sick Person,CBE
2,2012-00047142,09/01/12,00:30,Service Building at 3 Rossborough La,09/01/12,01:51,Injured Officer,CBE
4,2012-00047146,09/01/12,00:30,Service Building at 3 Rossborough La,09/01/12,01:55,Other Service Call,Active/Pending
6,2012-00047147,09/01/12,01:56,250 block of Hagerstown Dr,09/01/12,01:56,Injured/Sick Person,CBE
8,2012-00047151,09/01/12,02:07,"Frat 14, Zeta Beta Tau Fraternity at 14 Fraternity Row",09/01/12,02:07,Injured/Sick Person,CBE
10,2012-00047157,09/01/12,02:25,South Gate at 401 Regents Dr,09/01/12,02:27,Injured/Sick Person,CBE
12,2012-00047158,09/01/12,02:40,Hartwick Rd,09/01/12,02:40,Theft,Arrest
14,2012-00047164,09/01/12,02:48,250 block of Stadium Dr,09/01/12,02:48,Injured/Sick Person,CBE
16,2012-00047170,09/01/12,03:30,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/01/12,03:32,Injured/Sick Person,CBE
18,2012-00047199,08/30/12,17:00,Lot Q,09/01/12,12:30,Vandalism,Suspended
20,2012-00047206,09/01/12,14:07,Lot 11b,09/01/12,14:07,Alcohol Violation,Arrest
22,2012-00047219,09/01/12,16:00,Denton Hall at 252 Stadium Dr,09/01/12,16:31,Injured/Sick Person,CBE
24,2012-00047222,09/01/12,17:00,"Byrd Stadium, Capital One Field at Byrd Stadium",09/01/12,17:01,Injured/Sick Person,CBE
26,2012-00047231,09/01/12,14:00,Plant Sciences Building at 36 Field House Dr,09/01/12,18:34,Theft,Suspended
28,2012-00047232,09/01/12,16:10,"Byrd Stadium, Capital One Field at Byrd Stadium",09/01/12,18:47,Injured/Sick Person,CBE
30,2012-00047238,09/01/12,19:45,Somerset Hall at 63 Preinkert Dr,09/01/12,19:58,Injured/Sick Person,CBE
32,2012-00047258,09/01/12,21:57,Regents Dr,09/01/12,21:57,CDS Violation,Arrest
34,2012-00047276,09/01/12,23:02,Panda - Carryout at 4439 Lehigh Rd,09/01/12,23:02,Theft,Arrest
36,2012-00047290,09/01/12,23:42,Lot RR2,09/01/12,23:42,CDS Violation,Juvenile Arrest
38,2012-00047303,09/02/12,00:34,Denton Hall at 252 Stadium Dr,09/02/12,00:34,Injured/Sick Person,CBE
40,2012-00047316,09/02/12,01:25,Commons 3 at 4318 Knox Rd,09/02/12,01:25,Injured/Sick Person,CBE
42,2012-00047325,09/02/12,01:47,Oakland Hall at 419 Denton Dr,09/02/12,01:47,Injured/Sick Person,CBE
44,2012-00047327,09/02/12,01:51,8700 block of Boteler Ln,09/02/12,01:51,Injured/Sick Person,CBE
46,2012-00047334,09/02/12,02:43,Commons 2 at 4250 Knox Rd,09/02/12,02:43,Injured/Sick Person,CBE
48,2012-00047335,09/02/12,02:41,Paint Branch Gate at 298 Paint Branch Dr,09/02/12,02:41,DWI/DUI,Arrest
50,2012-00047345,09/02/12,03:55,"Frat 1, Kappa Alpha Fraternity at 1 Fraternity Row",09/02/12,03:57,DWI/DUI,Arrest
52,2012-00047364,09/02/12,08:52,Baltimore Ave,09/02/12,08:52,Traffic Arrest,Arrest
54,2012-00047366,09/01/12,12:00,University Courtyard #1 at 8100 Boteler La,09/02/12,09:14,Theft from Auto,Suspended
56,2012-00047400,07/18/12,12:00,3400 block of Tulane Dr,09/02/12,13:59,Harassment/Stalking,CBE
58,2012-00047405,08/30/12,00:30,Ellicott Hall at 256 Stadium Dr,09/02/12,15:34,Theft,Suspended
60,2012-00047436,09/02/12,18:00,Riggs Alumni Center at 407 Field House Dr,09/02/12,18:35,Injured/Sick Person,CBE
62,2012-00047505,09/03/12,01:45,North Gate at 295 Campus Dr,09/03/12,01:51,Theft,Arrest
64,2012-00047507,09/03/12,01:54,Baltimore Ave,09/03/12,01:54,Injured/Sick Person,CBE
66,2012-00047517,09/03/12,03:23,Queen Anne's Hall at 61 Preinkert Dr,09/03/12,03:23,Trespassing,Arrest
68,2012-00047591,09/03/12,12:45,Ledos Restaraunt at 4509 Knox Rd,09/03/12,12:47,Injured/Sick Person,CBE
70,2012-00047616,09/01/12,12:50,Service Building at 3 Rossborough La,09/03/12,15:20,Harassment/Stalking,Active/Pending
72,2012-00047627,09/03/12,14:00,250 block of Farm Dr,09/03/12,16:09,Injured/Sick Person,CBE
74,2012-00047651,09/03/12,01:25,Service Building at 3 Rossborough La,09/03/12,21:37,Injured Officer,CBE
76,2012-00047725,09/04/12,01:19,"Leonardtown #248, Leonardtown at 248 Yale Ave",09/04/12,01:19,Injured/Sick Person,CBE
78,2012-00047801,09/04/12,11:09,Garrett Hall at 31 Chapel Dr,09/04/12,11:09,Found/Recovered Property,Active/Pending
80,2012-00047825,09/04/12,14:21,Ellicott Hall at 256 Stadium Dr,09/04/12,14:21,Injured/Sick Person,CBE
82,2012-00047845,09/04/12,09:00,Cumberland Hall at 122 Valley Dr,09/04/12,16:48,Vandalism,Suspended
84,2012-00047848,09/01/12,07:58,"HHP, PERH, Public Health, School of Public Health Building at 255 Valley Dr",09/04/12,17:07,Check on the Welfare,Active/Pending
86,2012-00047851,08/31/12,19:30,Anne Arundel Hall at 60 Campus Dr,09/04/12,17:01,Theft,Suspended
88,2012-00047908,09/04/12,22:20,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162 Union Dr",09/04/12,22:20,Vandalism,Suspended
90,2012-00047927,09/04/12,23:20,Easton Hall at 253 Denton Dr,09/04/12,23:23,Injured/Sick Person,CBE
92,2012-00047956,09/05/12,00:51,Allegany Hall at 24 Lehigh Rd,09/05/12,00:51,Trespassing,CBE
94,2012-00048043,09/04/12,12:00,Lefrak Hall at 38 Preinkert Dr,09/05/12,10:39,Burglary,Active/Pending
96,2012-00048061,08/24/12,16:00,Commons 2 at 4250 Knox Rd,09/05/12,12:58,Suspicious Activity,CBE
98,2012-00048075,09/05/12,14:15,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162 Union Dr",09/05/12,14:15,Trespassing,Arrest
100,2012-00048082,09/05/12,12:00,Tawes Hall at 141 Campus Dr,09/05/12,15:22,Theft,Suspended
102,2012-00048090,09/05/12,15:48,Health Center at 140 Campus Dr,09/05/12,15:48,Threat Assessment,Active/Pending
104,2012-00048190,09/06/12,01:08,Lot 4i,09/06/12,01:08,DWI/DUI,Arrest
106,2012-00048193,09/05/12,22:15,North Gate at 295 Campus Dr,09/06/12,01:18,Theft,Unfounded
108,2012-00048225,09/06/12,06:33,160 block of Campus Dr,09/06/12,06:33,Theft,Arrest
110,2012-00048238,09/02/12,16:30,Commons 2 at 4250 Knox Rd,09/06/12,10:03,Vandalism,Suspended
112,2012-00048239,09/02/12,16:30,Commons 2 at 4250 Knox Rd,09/06/12,10:40,Vandalism,Suspended
114,2012-00048250,09/06/12,13:20,"Stamp Student Union, Student Union, Union at 163 Campus Dr",09/06/12,13:29,Theft,Arrest
116,2012-00048252,09/06/12,11:00,Van Munching Hall at 39 Mowatt La,09/06/12,13:27,Theft,Unfounded
