What is your gender?,What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one),I am a (Select as many as apply),"If a current UMD student, which best describes you? (Select one)",Which best describes how often you read The Diamondback?,When I do read the Diamondback I most often choose content in these areas (Select all that apply),"On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?",Which of the following would you like to see more of from The Diamondback? (Select all that apply),What type of device do you most often use to access The Diamondback? (Select all that apply),When reading news on your phone do you prefer to use,"On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?",Do you follow The Diamondback on any of the following? (Select all that apply),Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply),What could The Diamondback do to improve? ,What do you think The Diamondback does well as a news source?,"If you have any other comments, suggestions or questions, please enter them below. Thank you."
Non-binary,22-24,"UMD student
UMD faculty/staff",Graduate Student,Several times a week,"Campus News
College Park News",3,"Breaking News
Opinions",Computer / Laptop,Mobile website,1,None of the above,"The Diamondback
Maryland Today
University emails
Word of Mouth
Slack",,,
Male,22-24,"UMD student
UMD alumni",Senior,At least once a week,"Campus News
College Park News
Crime
Opinions",3,"Breaking News
Opinions",Phone,Mobile website,2,Daily emailed newsletter,"The Diamondback
University emails
Word of Mouth",,,
Prefer not to answer,41-50,"UMD student
UMD alumni",Other,At least once a week,"Campus News
Other",3,"Breaking News
Real campus news","Phone
Computer / Laptop
Tablet",Mobile website,3,Daily emailed newsletter,"The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
Twitter","More evenly balanced opinions (both liberal or conservative);
Less DEI, LBQT+ opinion and coverage;
Less BLM and CRT
Emphasize facts, not opinions ",Opportunities for student journalism ,
Female,18-19,"UMD student
UMD alumni",Sophomore,At least once a day,"Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",5,,"Phone
Computer / Laptop",Mobile website,1,,,,,
Female,20-21,"UMD student
College Park citizen or official/non-student",Junior,Several times a week,"Campus News
College Park News
Opinions",3,Student Profiles,Computer / Laptop,Mobile website,1,"Instagram
Twitter","The Diamondback
Stories Beneath the Shell
Maryland Today
University Social Media","Editorial standards on opinion pieces are incredibly low. Especially on local issues, many articles lack basic fact-checking that reflects poorly on the DBK.",I love profiles on groups and people. ,"Please use outside fact-checks on opinion articles, rather than trusting the author to fact-check."
Male,20-21,UMD student,Senior,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Breaking News
Sports",Tablet,Mobile website,5,Instagram,"The Diamondback
Stories Beneath the Shell
Twitter","Presenting add'l views on the stories.  Lately it seems like a ton of stories with people demanding services for a small interest, regardless of cost or common sense.  We're reinforcing the perception of our generation as entitled and wanting everything give to us.      The recent person asking for an umbrella service?  And no thoughts from the reporter on the responsibility of the individual to be responsible for having an umbrella or a rain jacket.  Geez, we can be better!","Pretty good.  Needs more pushback on getting all sides of a story, not just the single view of the person in the headline.",Go Terps!
Female,18-19,UMD student,Freshman,Very rarely,College Park News,1,Opinions,Tablet,App,5,Twitter,The Diamondback,,,
Female,20-21,UMD student,Senior,Several times a week,"Campus News
Diversions/Entertainment
Opinions",3,"Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,Mobile website,1,Daily emailed newsletter,"The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth",Pay writers better wages! And hire more POC writers,It has different topics & sections for news,
Male,18-19,UMD student,Sophomore,Very rarely,,,,,,,,,,,
Male,18-19,UMD student,Sophomore,Several times a week,"Campus News
College Park News
Opinions",4,"Breaking News
Opinions",Phone,Mobile website,3,Instagram,"The Diamondback
Mitzpeh
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,20-21,UMD student,Sophomore,At least once a day,College Park News,5,"Student Profiles
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",2,"Breaking News
Lifestyle Content
Entertainment
Opinions","Phone
Computer / Laptop",App,4,Instagram,"The Diamondback
Her Campus
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Senior,At least once a day,"Campus News
Other",3,"Diversity, Equity and Inclusion
Spanish content","Phone
Computer / Laptop",Mobile website,2,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media","Boost Spanish content more, offer more opportunities in that area for reporters",,
Male,20-21,UMD student,Senior,At least once a day,"Campus News
Sports",4,Sports,"Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Facebook
Instagram
Twitter","The Diamondback
The Left Bench
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,25-30,UMD student,Graduate Student,At least once a week,"Campus News
College Park News
Sports
Crime
Opinions",5,"Breaking News
Lifestyle Content
Opinions
Sports","Phone
Computer / Laptop",Mobile website,1,"Facebook
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Non-binary,20-21,UMD student,Junior,At least once a week,"Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Entertainment
Opinions","Phone
Computer / Laptop",I get my news from social media,5,Instagram,"The Diamondback
Stories Beneath the Shell
WMUC Radio
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,At least once a month,"Campus News
Crime
Opinions",3,Opinions,Phone,Mobile website,4,Instagram,"The Diamondback
University emails","The quality of writing could use some work. So much of it as written as: “blah blah” said Smith. “Blah blah” Smith added. “But blah blah blah” said Smith.

I would use the repeat options for the questions in this form as a reference for the Diamondback’s level of quality control.",You seem to cover everything that happens on campus? I think?,"All articles feel heavily biased… there are some things I read on your site that aren’t labeled as “Opinion” articles but are incredibly skewed in the way that they are written. Your job is to be objective and just share the facts, not write a narrative that is biased and skewed in a way that is in alignment with your moral and/or political opinion(s).

I am curious how often you check the form that readers can fill out about potential stories. If you’re not checking it (or are rarely checking it), you are doing yourself a great disservice.

More transparency on the wages you give your workers would be good."
Male,20-21,UMD student,Sophomore,Very rarely,"Campus News
College Park News
Sports
Opinions
Other",5,,"Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
University emails
University Social Media",,,
Male,22-24,UMD student,Senior,At least once a month,"Campus News
Opinions",5,"Student Profiles
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,4,None of the above,"The Diamondback
Maryland Today",,,
Female,18-19,UMD student,Sophomore,Very rarely,"Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Breaking News
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,5,Instagram,None of these,,,
Male,20-21,UMD student,Junior,Very rarely,Campus News,3,"Breaking News
Lifestyle Content
Entertainment
Sports
Diversity, Equity and Inclusion",Phone,App,3,None of the above,None of these,,,
