"What is your gender?","What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one)","I am a (Select as many as apply)","If a current UMD student, which best describes you? (Select one)","Which best describes how often you read The Diamondback?","When I do read the Diamondback I most often choose content in these areas (Select all that apply)","On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?","Which of the following would you like to see more of from The Diamondback? (Select all that apply)","What type of device do you most often use to access The Diamondback? (Select all that apply)","When reading news on your phone do you prefer to use","On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?","Do you follow The Diamondback on any of the following? (Select all that apply)","Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply)","What could The Diamondback do to improve? ","What do you think The Diamondback does well as a news source?","If you have any other comments, suggestions or questions, please enter them below. Thank you."
Non-binary,22-24,"UMD student
UMD faculty/staff","Graduate Student","Several times a week","Campus News
College Park News",3,"Breaking News
Opinions","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback
Maryland Today
University emails
Word of Mouth
Slack",,,
Male,22-24,"UMD student
UMD alumni",Senior,"At least once a week","Campus News
College Park News
Crime
Opinions",3,"Breaking News
Opinions",Phone,"Mobile website",2,"Daily emailed newsletter","The Diamondback
University emails
Word of Mouth",,,
Female,18-19,"UMD student
UMD alumni",Sophomore,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",5,,"Phone
Computer / Laptop","Mobile website",1,,,,,
"Prefer not to answer",41-50,"UMD student
UMD alumni",Other,"At least once a week","Campus News
Other",3,"Breaking News
Real campus news","Phone
Computer / Laptop
Tablet","Mobile website",3,"Daily emailed newsletter","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
Twitter","More evenly balanced opinions (both liberal or conservative);
Less DEI, LBQT+ opinion and coverage;
Less BLM and CRT
Emphasize facts, not opinions ","Opportunities for student journalism ",
Female,20-21,"UMD student
College Park citizen or official/non-student",Junior,"Several times a week","Campus News
College Park News
Opinions",3,"Student Profiles","Computer / Laptop","Mobile website",1,"Instagram
Twitter","The Diamondback
Stories Beneath the Shell
Maryland Today
University Social Media","Editorial standards on opinion pieces are incredibly low. Especially on local issues, many articles lack basic fact-checking that reflects poorly on the DBK.","I love profiles on groups and people. ","Please use outside fact-checks on opinion articles, rather than trusting the author to fact-check."
Female,20-21,"UMD student",Senior,"At least once a day","Campus News
Other",3,"Diversity, Equity and Inclusion
Spanish content","Phone
Computer / Laptop","Mobile website",2,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media","Boost Spanish content more, offer more opportunities in that area for reporters",,
Female,18-19,"UMD student",Sophomore,"At least once a month","Campus News
College Park News",4,"Breaking News
Entertainment
Diversity, Equity and Inclusion",Phone,"I get my news from social media",2,"Daily emailed newsletter","The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"At least once a month","Campus News
College Park News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles
Entertainment","Computer / Laptop",App,1,"Daily emailed newsletter","Maryland Today
University emails
Word of Mouth
Twitter",,,
Female,18-19,"UMD student",Freshman,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",2,"Breaking News
Lifestyle Content
Entertainment
Opinions","Phone
Computer / Laptop",App,4,Instagram,"The Diamondback
Her Campus
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"Several times a week","Campus News
Opinions",4,"Breaking News
Lifestyle Content
Opinions",Phone,App,1,Instagram,"The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,"Does a good job of advocating for students ",
Female,20-21,"UMD student",Senior,"Several times a week",,,,"Phone
Computer / Laptop","I get my news from social media",2,,,,,
Male,18-19,"UMD student",Sophomore,"Very rarely",,,,,,,,,,,
Male,20-21,"UMD student",Sophomore,"At least once a day","College Park News",5,"Student Profiles
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Sophomore,"At least once a week","Campus News
Diversions/Entertainment
Opinions",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",1,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media",,,"You should research how Student Body President Ayelette Halbfinger is racist and makes Islamiphobic remarks"
Female,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion",Phone,"Mobile website",5,Instagram,"The Diamondback
Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Freshman,"Several times year",Opinions,3,"Entertainment
Opinions","Computer / Laptop","I get my news from social media",5,"None of the above","University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Freshman,"Very rarely","Campus News
College Park News
Crime",2,"Breaking News
Diversity, Equity and Inclusion",Phone,"Mobile website",3,Instagram,"Her Campus
University emails
University Social Media
Word of Mouth","More local news and asking others what they want to read. ",,
Female,20-21,"UMD student",Senior,"Several times a week","Campus News
Diversions/Entertainment
Opinions",3,"Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",1,"Daily emailed newsletter","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth","Pay writers better wages! And hire more POC writers","It has different topics & sections for news",
Female,18-19,"UMD student",Sophomore,"Very rarely","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Breaking News
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",5,Instagram,"None of these",,,
Male,20-21,"UMD student",Sophomore,"Very rarely","Campus News
College Park News
Sports
Opinions
Other",5,,"Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
University emails
University Social Media",,,
Male,18-19,"UMD student",Sophomore,"Several times a week","Campus News
College Park News
Opinions",4,"Breaking News
Opinions",Phone,"Mobile website",3,Instagram,"The Diamondback
Mitzpeh
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,18-19,"UMD student",Sophomore,"At least once a week","Campus News
Opinions",3,"stop publishing",Phone,"I get my news from social media",1,Instagram,"THE UMD HARE, BABEEEEEEEEEEEEEEE","Shut down your paper",Nothing,"Viva la Hare"
