What is your gender?,What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one),I am a (Select as many as apply),"If a current UMD student, which best describes you? (Select one)",Which best describes how often you read The Diamondback?,When I do read the Diamondback I most often choose content in these areas (Select all that apply),"On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?",Which of the following would you like to see more of from The Diamondback? (Select all that apply),What type of device do you most often use to access The Diamondback? (Select all that apply),When reading news on your phone do you prefer to use,"On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?",Do you follow The Diamondback on any of the following? (Select all that apply),Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply),What could The Diamondback do to improve? ,What do you think The Diamondback does well as a news source?,"If you have any other comments, suggestions or questions, please enter them below. Thank you."
Female,18-19,UMD student,Freshman,At least once a day,"Campus News
College Park News",3,"Breaking News
Diversity, Equity and Inclusion",Phone,Mobile website,4,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
Word of Mouth",I think reporting on the local impact of more national and international events would be cool. I was kinda disappointed to see that there wasn't any coverage of the World Cup and I feel like covering the community impact of national and international events would be really cool to see more of. ,,
Female,20-21,UMD student,Junior,Several times a week,"Campus News
College Park News",3,"Student Profiles
Diversity, Equity and Inclusion",Computer / Laptop,Mobile website,2,"Daily emailed newsletter
Facebook
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles",Computer / Laptop,App,5,Instagram,"The Diamondback
WMUC Radio",,,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
Diversions/Entertainment",4,"Lifestyle Content
Entertainment",Computer / Laptop,Mobile website,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media
Word of Mouth
Twitter",,,
Female,20-21,UMD student,Junior,Several times a week,"Campus News
Sports",4,"Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram
TikTok
Twitter","The Diamondback
Stories Beneath the Shell
University emails
Word of Mouth",,,
Female,20-21,UMD student,Junior,Very rarely,"Campus News
Diversions/Entertainment
Opinions",4,"Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,Mobile website,2,Instagram,"The Diamondback
University emails
University Social Media
Word of Mouth",,The style of writing is great. There is a wide variety of topics and they have a voice for UMD students.,
Female,20-21,UMD student,Junior,At least once a month,"Campus News
College Park News
Crime
Opinions",4,"Breaking News
Entertainment
Diversity, Equity and Inclusion",Phone,I get my news from social media,2,"Instagram
Snapchat
Twitter","The Diamondback
University emails
University Social Media
Word of Mouth
Twitter",Be more understanding of student mental health and publish resources on this topic,Holds itself accountable for mistakes,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
College Park News",4,"Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram
I do not use social media","University emails
Word of Mouth",,,
Non-binary,22-24,UMD student,Senior,At least once a week,"Campus News
Diversions/Entertainment
Opinions",4,,"Phone
Computer / Laptop",Mobile website,2,"Instagram
Twitter","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
University Social Media","More diverse voices, encouraging and supporting non-staff writers (guest columnists, ga writers, etc) ","Data stories, investigative stories about the university",
Female,20-21,UMD student,Junior,At least once a day,"Campus News
College Park News",4,"Breaking News
Entertainment","Phone
Computer / Laptop",App,5,Twitter,"The Diamondback
University emails
Word of Mouth
Twitter",,,
Male,22-24,UMD student,Senior,At least once a month,"Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Lifestyle Content
Entertainment",Computer / Laptop,App,4,,None of these,,,
Female,18-19,UMD student,Freshman,At least once a month,Diversions/Entertainment,3,"Lifestyle Content
Entertainment
Opinions",Computer / Laptop,Mobile website,2,I do not use social media,"University emails
Word of Mouth",,,
Female,18-19,UMD student,Sophomore,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Opinions
Other",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,2,"Instagram
I do not use social media","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,At least once a day,"Campus News
College Park News
Crime",5,"Breaking News
Student Profiles
Opinions",Computer / Laptop,I get my news from social media,5,None of the above,"The Diamondback
Her Campus
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
College Park News
Diversions/Entertainment",2,"Lifestyle Content
Student Profiles
Entertainment
Diversity, Equity and Inclusion",Phone,Mobile website,2,Instagram,"The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,18-19,UMD student,Freshman,At least once a week,"College Park News
Opinions",3,"Breaking News
Opinions",Computer / Laptop,I get my news from social media,4,Instagram,,,,
Female,18-19,UMD student,Sophomore,At least once a week,"Campus News
College Park News
Sports",4,Opinions,Phone,I get my news from social media,4,Instagram,"The Diamondback
Maryland Today",,,
Prefer not to answer,20-21,UMD student,Senior,Several times a week,"Campus News
Diversions/Entertainment
Opinions",4,"Breaking News
Student Profiles
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,1,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
Word of Mouth
Twitter",,,
Female,18-19,UMD student,Freshman,Several times a week,"Campus News
Crime
Opinions",5,"Breaking News
Lifestyle Content
Opinions",Computer / Laptop,Mobile website,3,Instagram,"The Diamondback
University emails
University Social Media
Word of Mouth
Twitter",,,
Male,20-21,UMD student,Senior,At least once a day,Campus News,4,"Breaking News
Student Profiles","Phone
Computer / Laptop",I get my news from social media,3,"Daily emailed newsletter
Facebook
Instagram
Twitter",The Diamondback,,,
Female,20-21,UMD student,Junior,Several times a day,"Campus News
College Park News",5,"Breaking News
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Twitter",,,
Female,20-21,UMD student,Senior,Several times a week,"Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Breaking News
Lifestyle Content
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram
Snapchat
Twitter","The Diamondback
Word of Mouth",,,
Male,22-24,UMD student,Senior,At least once a week,"Campus News
College Park News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop",Mobile website,3,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Maryland Today
University emails
Word of Mouth",More feature-type stories on students or staff. More stories focused on underrepresented groups,I think the Diamondback does very well reporting on issues on campus and in College Park.,
Male,18-19,UMD student,,At least once a week,Campus News,3,Breaking News,Phone,App,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,UMD student,Junior,At least once a day,"Campus News
College Park News
Diversions/Entertainment",4,"Breaking News
Lifestyle Content
Diversity, Equity and Inclusion","Phone
Computer / Laptop",I get my news from social media,3,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Stories Beneath the Shell
University emails
University Social Media
Word of Mouth
Twitter","All of the special projects are on the same website layout just different content. I’d love to see more developed and relevant layouts for investigative pieces. I also think an advice column would be sick. Also, more data stories/resources!! Also maybe more music/movie/book reviews?",Breaking news stories and developing stories. Love the data content so far. Also some of the these div articles are so fun!,Maybe there could be a way for DBK to connect with the campus community more and get more input from them to help us report more FOR them. Like asking the community what they want to know more about this semester? Ask them what questions they have about developments like new traffic patterns or masking in classes. These are just examples but you catch my drift 
Female,20-21,UMD student,Junior,Several times a week,"Campus News
College Park News
Crime
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram","The Diamondback
University emails
Word of Mouth","More regular cartoons, ideally strips ","Student activities in the humanities/business, but I think they're lacking on a lot of student activities in stem/north campus. ",
Female,18-19,UMD student,Freshman,At least once a week,"Campus News
College Park News
Diversions/Entertainment",4,"Breaking News
Lifestyle Content
Entertainment
Diversity, Equity and Inclusion",Computer / Laptop,Mobile website,5,"Daily emailed newsletter
Instagram","The Diamondback
Mitzpeh
Maryland Today
University emails
Word of Mouth",,,
Female,20-21,UMD student,Sophomore,At least once a day,"Campus News
College Park News
Sports",3,"Breaking News
Lifestyle Content
Student Profiles",Computer / Laptop,App,5,"Daily emailed newsletter
Facebook
Instagram
Twitter","The Diamondback
Her Campus
University emails
University Social Media",,,
Female,20-21,UMD student,Junior,Several times year,"Campus News
College Park News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles","Phone
Computer / Laptop",Mobile website,2,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Stories Beneath the Shell
WMUC Radio
Maryland Today
University Social Media",,,
Female,18-19,UMD student,Sophomore,Several times a week,"Campus News
Sports
Crime",4,"Lifestyle Content
Student Profiles
Diversity, Equity and Inclusion",Computer / Laptop,App,5,Instagram,"The Diamondback
WMUC Radio
University emails
Word of Mouth","I think there could be more on-campus and in-person engagement, and more long and in-depth feature pieces.","Very good at pushing stories quickly, especially blogs and breaking news. ",
Female,22-24,UMD student,Senior,Several times a week,"Campus News
College Park News
Sports",4,Breaking News,Computer / Laptop,Mobile website,5,"Daily emailed newsletter
Instagram","The Diamondback
Her Campus
Maryland Today
University emails
University Social Media
Word of Mouth","Produce a higher quality and higher quantity of news content. Create an actual purpose for the equity committee that has real, well-defined responsibilities. Set more serious expectations for meeting quotas for every desk, especially news, multimedia and offbeat. Actually ensure staff members are producing content and hold them accountable when they don’t. Keep photo in the loop so we’re not waiting forever to publish content. ",Has diverse coverage. ,
