Title,Hour Rate
Acad Prog Spec,24.52
Acad Prog Spec,24.15
Acad Prog Spec,21.41
Acad Prog Spec,21.26
Acad Prog Spec,21.25
Acad Prog Spec,20.38
Acad Prog Spec,20.29
Acad Prog Spec,19.60
Acad Prog Spec,19.60
Acad Prog Spec,19.57
Account Clerk II,19.43
Account Clerk II,18.48
Account Clerk II,17.66
Account Clerk II,17.10
Account Clerk II,15.40
Account Clerk III,20.69
Account Clerk III,20.49
Account Clerk III,20.30
Account Clerk III,19.51
Account Clerk III,19.39
Account Clerk III,18.92
Account Clerk III,18.12
Account Clerk III,18.07
Account Clerk III,17.37
Account Clerk III,17.37
Account Clerk III,16.94
Accountant I,28.39
Accountant I,27.58
Accountant I,23.96
Accountant I,23.96
Accountant I,23.59
Accountant I,22.59
Accountant I,22.59
Accountant I,22.02
Accountant I,20.82
Accountant I,19.79
Accountant I,19.48
Accounting Assoc,27.01
Accounting Assoc,26.39
Accounting Assoc,26.01
Accounting Assoc,25.95
Accounting Assoc,23.76
Accounting Assoc,22.41
Accounting Assoc,22.20
Accounting Assoc,21.98
Accounting Assoc,21.93
Accounting Assoc,21.22
Accounting Assoc,21.22
Accounting Assoc,20.91
Accounting Assoc,20.78
Accounting Assoc,20.72
Accounting Assoc,20.71
Accounting Assoc,20.40
Accounting Assoc,20.28
Accounting Assoc,20.12
Accounting Assoc,19.95
Accounting Assoc,19.86
Accounting Assoc,18.88
Accounting Assoc,18.88
Admin Asst I,22.37
Admin Asst I,22.12
Admin Asst I,21.89
Admin Asst I,21.56
Admin Asst I,21.37
Admin Asst I,21.33
Admin Asst I,20.92
Admin Asst I,20.75
Admin Asst I,20.63
Admin Asst I,20.49
Admin Asst I,20.39
Admin Asst I,20.24
Admin Asst I,19.74
Admin Asst I,19.57
Admin Asst I,19.34
Admin Asst I,19.32
Admin Asst I,19.28
Admin Asst I,19.24
Admin Asst I,19.05
Admin Asst I,19.05
Admin Asst I,18.97
Admin Asst I,18.87
Admin Asst I,18.86
Admin Asst I,18.69
Admin Asst I,18.56
Admin Asst I,18.41
Admin Asst I,18.25
Admin Asst I,17.85
Admin Asst I,17.81
Admin Asst I,17.81
Admin Asst I,17.80
Admin Asst I,17.70
Admin Asst I,17.54
Admin Asst I,17.45
Admin Asst I,17.37
Admin Asst I,17.37
Admin Asst I,16.94
Admin Asst II,25.57
Admin Asst II,25.31
Admin Asst II,25.26
Admin Asst II,25.25
Admin Asst II,25.25
Admin Asst II,25.01
Admin Asst II,24.73
Admin Asst II,24.60
Admin Asst II,23.54
Admin Asst II,22.62
Admin Asst II,22.48
Admin Asst II,22.14
Admin Asst II,22.07
Admin Asst II,22.02
Admin Asst II,21.97
Admin Asst II,21.86
Admin Asst II,21.86
Admin Asst II,21.67
Admin Asst II,21.59
Admin Asst II,21.52
Admin Asst II,21.52
Admin Asst II,21.50
Admin Asst II,21.45
Admin Asst II,21.45
Admin Asst II,21.29
Admin Asst II,21.22
Admin Asst II,21.22
Admin Asst II,21.21
Admin Asst II,20.91
Admin Asst II,20.69
Admin Asst II,20.66
Admin Asst II,20.56
Admin Asst II,20.40
Admin Asst II,20.39
Admin Asst II,20.38
Admin Asst II,20.38
Admin Asst II,20.36
Admin Asst II,20.20
Admin Asst II,20.19
Admin Asst II,20.18
Admin Asst II,20.12
Admin Asst II,20.08
Admin Asst II,20.05
Admin Asst II,20.04
Admin Asst II,20.01
Admin Asst II,20.00
Admin Asst II,20.00
Admin Asst II,19.98
Admin Asst II,19.88
Admin Asst II,19.86
Admin Asst II,19.86
Admin Asst II,19.86
Admin Asst II,19.86
Admin Asst II,19.80
Admin Asst II,19.80
Admin Asst II,19.63
Admin Asst II,19.61
Admin Asst II,19.61
Admin Asst II,19.55
Admin Asst II,19.49
Admin Asst II,19.34
Admin Asst II,19.34
Admin Asst II,19.30
Admin Asst II,19.24
Admin Asst II,19.21
Admin Asst II,19.12
Admin Asst II,19.12
Admin Asst II,19.11
Admin Asst II,19.10
Admin Asst II,18.99
Admin Asst II,18.96
Admin Asst II,18.88
Admin Asst II,18.87
Admin Asst II,18.84
Admin Asst II,18.82
Admin Asst II,18.82
Admin Asst II,18.77
Admin Asst II,18.67
Admin Asst II,18.67
Admin Asst II,18.67
Admin Asst II,18.67
Admin Asst II,18.61
Admin Asst II,18.50
Admin Asst II,18.50
Admin Asst II,18.50
Admin Asst II,18.47
Admin Asst II,18.39
Admin Asst II,18.28
Admin Asst II,18.22
Admin Asst II,18.22
Admin Asst II,18.22
Admin Asst II,18.22
Admin Asst II,18.22
Admin Asst II,18.22
Admin Asst II,18.17
Admin Asst II,18.11
Admin Asst II,17.94
Admin Asst II,17.77
Agric Tech,24.51
Agric Tech,23.55
Agric Tech,23.02
Agric Tech,18.61
Agric Tech,18.52
Agric Tech,17.54
Agric Tech,17.37
Agric Tech,17.11
Agric Tech,16.94
Agric Tech Lead,25.47
Agric Tech Lead,24.92
Agric Tech Lead,24.72
Agric Tech Lead,22.41
Agric Tech Lead,22.38
Agric Tech Lead,21.43
Agric Tech Lead,21.31
Agric Tech Lead,21.20
Agric Tech Lead,20.76
Agric Tech Lead,20.44
